Date,Opponent,Tackles - Solo,Tackles - AST,Tackles - TOT,Tackles - TFL,Tackles - YDS,Sacks - TOT,Sacks - YDS,Fumble - FF,Fumble - FR,Fumble - YDS,INT - TOT,INT - YDS,QBH,Pass Brup,Blkd Kick,SAF
08/28/2025,Youngstown St.,29,40,69,2.0,13,1.0,8,0,0,0,0,0,2,4,0,0
09/06/2025,New Haven,28,18,46,3.0,4,0,0,0,0,0,1,0,2,6,0,0
09/13/2025,Sacramento St.,28,40,68,2.0,6,0,0,1,1,0,0,0,1,3,0,0
09/20/2025,Montana St.,37,28,65,4.0,6,0,0,0,0,0,1,0,0,1,0,0
09/27/2025,South Dakota St.,37,36,73,4.0,8,0,0,0,0,0,0,0,0,1,0,0
10/04/2025,LIU,33,2,35,4.0,7,0,0,0,0,0,2,-8,0,3,0,0
10/11/2025,Wagner,37,22,59,6.0,33,4.0,30,3,1,0,0,0,5,6,0,0
10/18/2025,Duquesne,36,28,64,3.0,8,0,0,0,0,0,1,15,0,0,0,0
10/25/2025,Stonehill,34,26,60,8.0,23,1.0,10,0,0,0,1,3,2,1,0,0
11/08/2025,Saint Francis,33,50,83,6.0,19,0,0,0,0,0,0,0,0,7,1,0
11/15/2025,Robert Morris,36,16,52,6.0,24,3.0,16,1,1,0,0,0,0,2,0,0
11/22/2025,Central Conn. St.,33,38,71,6.0,18,0,0,0,1,0,1,51,1,1,0,0
